"TIME","GEO","GEO_LABEL","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2016","BE","Belgium","Total","Less than 1 year","Year","81.5",""
"2016","BE","Belgium","Males","Less than 1 year","Year","79.0",""
"2016","BE","Belgium","Females","Less than 1 year","Year","84.0",""
"2016","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Less than 1 year","Year","81.3",""
"2016","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Males","Less than 1 year","Year","78.4",""
"2016","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Females","Less than 1 year","Year","84.0",""
"2016","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Less than 1 year","Year","81.3",""
"2016","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Males","Less than 1 year","Year","78.4",""
"2016","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Females","Less than 1 year","Year","84.0",""
"2016","BE2","Vlaams Gewest","Total","Less than 1 year","Year","82.6",""
"2016","BE2","Vlaams Gewest","Males","Less than 1 year","Year","80.2",""
"2016","BE2","Vlaams Gewest","Females","Less than 1 year","Year","84.9",""
"2016","BE21","Prov. Antwerpen","Total","Less than 1 year","Year","82.4",""
"2016","BE21","Prov. Antwerpen","Males","Less than 1 year","Year","80.2",""
"2016","BE21","Prov. Antwerpen","Females","Less than 1 year","Year","84.5",""
"2016","BE22","Prov. Limburg (BE)","Total","Less than 1 year","Year","82.9",""
"2016","BE22","Prov. Limburg (BE)","Males","Less than 1 year","Year","80.6",""
"2016","BE22","Prov. Limburg (BE)","Females","Less than 1 year","Year","85.1",""
"2016","BE23","Prov. Oost-Vlaanderen","Total","Less than 1 year","Year","82.2",""
"2016","BE23","Prov. Oost-Vlaanderen","Males","Less than 1 year","Year","79.5",""
"2016","BE23","Prov. Oost-Vlaanderen","Females","Less than 1 year","Year","84.7",""
"2016","BE24","Prov. Vlaams-Brabant","Total","Less than 1 year","Year","82.9",""
"2016","BE24","Prov. Vlaams-Brabant","Males","Less than 1 year","Year","80.4",""
"2016","BE24","Prov. Vlaams-Brabant","Females","Less than 1 year","Year","85.3",""
"2016","BE25","Prov. West-Vlaanderen","Total","Less than 1 year","Year","82.7",""
"2016","BE25","Prov. West-Vlaanderen","Males","Less than 1 year","Year","80.2",""
"2016","BE25","Prov. West-Vlaanderen","Females","Less than 1 year","Year","85.2",""
"2016","BE3","Région wallonne","Total","Less than 1 year","Year","79.8",""
"2016","BE3","Région wallonne","Males","Less than 1 year","Year","76.9",""
"2016","BE3","Région wallonne","Females","Less than 1 year","Year","82.5",""
"2016","BE31","Prov. Brabant Wallon","Total","Less than 1 year","Year","82.4",""
"2016","BE31","Prov. Brabant Wallon","Males","Less than 1 year","Year","80.3",""
"2016","BE31","Prov. Brabant Wallon","Females","Less than 1 year","Year","84.3",""
"2016","BE32","Prov. Hainaut","Total","Less than 1 year","Year","78.8",""
"2016","BE32","Prov. Hainaut","Males","Less than 1 year","Year","75.7",""
"2016","BE32","Prov. Hainaut","Females","Less than 1 year","Year","81.9",""
"2016","BE33","Prov. Liège","Total","Less than 1 year","Year","80.0",""
"2016","BE33","Prov. Liège","Males","Less than 1 year","Year","77.5",""
"2016","BE33","Prov. Liège","Females","Less than 1 year","Year","82.4",""
"2016","BE34","Prov. Luxembourg (BE)","Total","Less than 1 year","Year","79.9",""
"2016","BE34","Prov. Luxembourg (BE)","Males","Less than 1 year","Year","76.8",""
"2016","BE34","Prov. Luxembourg (BE)","Females","Less than 1 year","Year","83.1",""
"2016","BE35","Prov. Namur","Total","Less than 1 year","Year","79.7",""
"2016","BE35","Prov. Namur","Males","Less than 1 year","Year","76.9",""
"2016","BE35","Prov. Namur","Females","Less than 1 year","Year","82.4",""
"2016","BG","Bulgaria","Total","Less than 1 year","Year","74.9",""
"2016","BG","Bulgaria","Males","Less than 1 year","Year","71.3",""
"2016","BG","Bulgaria","Females","Less than 1 year","Year","78.5",""
"2016","BG3","Severna i yugoiztochna Bulgaria","Total","Less than 1 year","Year","74.2",""
"2016","BG3","Severna i yugoiztochna Bulgaria","Males","Less than 1 year","Year","70.7",""
"2016","BG3","Severna i yugoiztochna Bulgaria","Females","Less than 1 year","Year","78.0",""
"2016","BG31","Severozapaden","Total","Less than 1 year","Year","73.3",""
"2016","BG31","Severozapaden","Males","Less than 1 year","Year","69.7",""
"2016","BG31","Severozapaden","Females","Less than 1 year","Year","77.2",""
"2016","BG32","Severen tsentralen","Total","Less than 1 year","Year","74.4",""
"2016","BG32","Severen tsentralen","Males","Less than 1 year","Year","70.8",""
"2016","BG32","Severen tsentralen","Females","Less than 1 year","Year","78.3",""
"2016","BG33","Severoiztochen","Total","Less than 1 year","Year","74.8",""
"2016","BG33","Severoiztochen","Males","Less than 1 year","Year","71.3",""
"2016","BG33","Severoiztochen","Females","Less than 1 year","Year","78.3",""
"2016","BG34","Yugoiztochen","Total","Less than 1 year","Year","74.4",""
"2016","BG34","Yugoiztochen","Males","Less than 1 year","Year","70.8",""
"2016","BG34","Yugoiztochen","Females","Less than 1 year","Year","78.2",""
"2016","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Total","Less than 1 year","Year","75.5",""
"2016","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Males","Less than 1 year","Year","72.0",""
"2016","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","Females","Less than 1 year","Year","79.1",""
"2016","BG41","Yugozapaden","Total","Less than 1 year","Year","75.7",""
"2016","BG41","Yugozapaden","Males","Less than 1 year","Year","72.3",""
"2016","BG41","Yugozapaden","Females","Less than 1 year","Year","79.1",""
"2016","BG42","Yuzhen tsentralen","Total","Less than 1 year","Year","75.3",""
"2016","BG42","Yuzhen tsentralen","Males","Less than 1 year","Year","71.6",""
"2016","BG42","Yuzhen tsentralen","Females","Less than 1 year","Year","79.1",""
"2016","CZ","Czechia","Total","Less than 1 year","Year","79.1",""
"2016","CZ","Czechia","Males","Less than 1 year","Year","76.1",""
"2016","CZ","Czechia","Females","Less than 1 year","Year","82.1",""
"2016","CZ0","Ceská republika","Total","Less than 1 year","Year","79.1",""
"2016","CZ0","Ceská republika","Males","Less than 1 year","Year","76.1",""
"2016","CZ0","Ceská republika","Females","Less than 1 year","Year","82.1",""
"2016","CZ01","Praha","Total","Less than 1 year","Year","80.6",""
"2016","CZ01","Praha","Males","Less than 1 year","Year","78.0",""
"2016","CZ01","Praha","Females","Less than 1 year","Year","82.9",""
"2016","CZ02","Strední Cechy","Total","Less than 1 year","Year","79.2",""
"2016","CZ02","Strední Cechy","Males","Less than 1 year","Year","76.5",""
"2016","CZ02","Strední Cechy","Females","Less than 1 year","Year","81.9",""
"2016","CZ03","Jihozápad","Total","Less than 1 year","Year","79.3",""
"2016","CZ03","Jihozápad","Males","Less than 1 year","Year","76.4",""
"2016","CZ03","Jihozápad","Females","Less than 1 year","Year","82.1",""
"2016","CZ04","Severozápad","Total","Less than 1 year","Year","77.2",""
"2016","CZ04","Severozápad","Males","Less than 1 year","Year","74.2",""
"2016","CZ04","Severozápad","Females","Less than 1 year","Year","80.2",""
"2016","CZ05","Severovýchod","Total","Less than 1 year","Year","79.6",""
"2016","CZ05","Severovýchod","Males","Less than 1 year","Year","76.7",""
"2016","CZ05","Severovýchod","Females","Less than 1 year","Year","82.3",""
"2016","CZ06","Jihovýchod","Total","Less than 1 year","Year","79.9",""
"2016","CZ06","Jihovýchod","Males","Less than 1 year","Year","76.9",""
"2016","CZ06","Jihovýchod","Females","Less than 1 year","Year","82.9",""
"2016","CZ07","Strední Morava","Total","Less than 1 year","Year","78.9",""
"2016","CZ07","Strední Morava","Males","Less than 1 year","Year","75.4",""
"2016","CZ07","Strední Morava","Females","Less than 1 year","Year","82.4",""
"2016","CZ08","Moravskoslezsko","Total","Less than 1 year","Year","78.0",""
"2016","CZ08","Moravskoslezsko","Males","Less than 1 year","Year","74.5",""
"2016","CZ08","Moravskoslezsko","Females","Less than 1 year","Year","81.4",""
"2016","DK","Denmark","Total","Less than 1 year","Year","80.9",""
"2016","DK","Denmark","Males","Less than 1 year","Year","79.0",""
"2016","DK","Denmark","Females","Less than 1 year","Year","82.8",""
"2016","DK0","Danmark","Total","Less than 1 year","Year","80.9",""
"2016","DK0","Danmark","Males","Less than 1 year","Year","79.0",""
"2016","DK0","Danmark","Females","Less than 1 year","Year","82.8",""
"2016","DK01","Hovedstaden","Total","Less than 1 year","Year","80.8",""
"2016","DK01","Hovedstaden","Males","Less than 1 year","Year","78.7",""
"2016","DK01","Hovedstaden","Females","Less than 1 year","Year","82.8",""
"2016","DK02","Sjælland","Total","Less than 1 year","Year","80.2",""
"2016","DK02","Sjælland","Males","Less than 1 year","Year","78.3",""
"2016","DK02","Sjælland","Females","Less than 1 year","Year","82.2",""
"2016","DK03","Syddanmark","Total","Less than 1 year","Year","81.2",""
"2016","DK03","Syddanmark","Males","Less than 1 year","Year","79.3",""
"2016","DK03","Syddanmark","Females","Less than 1 year","Year","83.1",""
"2016","DK04","Midtjylland","Total","Less than 1 year","Year","81.5",""
"2016","DK04","Midtjylland","Males","Less than 1 year","Year","79.8",""
"2016","DK04","Midtjylland","Females","Less than 1 year","Year","83.2",""
"2016","DK05","Nordjylland","Total","Less than 1 year","Year","80.5",""
"2016","DK05","Nordjylland","Males","Less than 1 year","Year","78.6",""
"2016","DK05","Nordjylland","Females","Less than 1 year","Year","82.5",""
"2016","DE","Germany (until 1990 former territory of the FRG)","Total","Less than 1 year","Year","81.0",""
"2016","DE","Germany (until 1990 former territory of the FRG)","Males","Less than 1 year","Year","78.6",""
"2016","DE","Germany (until 1990 former territory of the FRG)","Females","Less than 1 year","Year","83.5",""
"2016","DE1","Baden-Württemberg","Total","Less than 1 year","Year","82.0",""
"2016","DE1","Baden-Württemberg","Males","Less than 1 year","Year","79.6",""
"2016","DE1","Baden-Württemberg","Females","Less than 1 year","Year","84.3",""
"2016","DE11","Stuttgart","Total","Less than 1 year","Year","82.2",""
"2016","DE11","Stuttgart","Males","Less than 1 year","Year","79.8",""
"2016","DE11","Stuttgart","Females","Less than 1 year","Year","84.5",""
"2016","DE12","Karlsruhe","Total","Less than 1 year","Year","81.6",""
"2016","DE12","Karlsruhe","Males","Less than 1 year","Year","79.2",""
"2016","DE12","Karlsruhe","Females","Less than 1 year","Year","83.9",""
"2016","DE13","Freiburg","Total","Less than 1 year","Year","82.0",""
"2016","DE13","Freiburg","Males","Less than 1 year","Year","79.6",""
"2016","DE13","Freiburg","Females","Less than 1 year","Year","84.3",""
"2016","DE14","Tübingen","Total","Less than 1 year","Year","82.2",""
"2016","DE14","Tübingen","Males","Less than 1 year","Year","80.0",""
"2016","DE14","Tübingen","Females","Less than 1 year","Year","84.3",""
"2016","DE2","Bayern","Total","Less than 1 year","Year","81.7",""
"2016","DE2","Bayern","Males","Less than 1 year","Year","79.4",""
"2016","DE2","Bayern","Females","Less than 1 year","Year","83.9",""
"2016","DE21","Oberbayern","Total","Less than 1 year","Year","82.5",""
"2016","DE21","Oberbayern","Males","Less than 1 year","Year","80.4",""
"2016","DE21","Oberbayern","Females","Less than 1 year","Year","84.5",""
"2016","DE22","Niederbayern","Total","Less than 1 year","Year","81.0",""
"2016","DE22","Niederbayern","Males","Less than 1 year","Year","78.7",""
"2016","DE22","Niederbayern","Females","Less than 1 year","Year","83.3",""
"2016","DE23","Oberpfalz","Total","Less than 1 year","Year","80.9",""
"2016","DE23","Oberpfalz","Males","Less than 1 year","Year","78.5",""
"2016","DE23","Oberpfalz","Females","Less than 1 year","Year","83.4",""
"2016","DE24","Oberfranken","Total","Less than 1 year","Year","80.7",""
"2016","DE24","Oberfranken","Males","Less than 1 year","Year","78.3",""
"2016","DE24","Oberfranken","Females","Less than 1 year","Year","83.0",""
"2016","DE25","Mittelfranken","Total","Less than 1 year","Year","81.1",""
"2016","DE25","Mittelfranken","Males","Less than 1 year","Year","78.6",""
"2016","DE25","Mittelfranken","Females","Less than 1 year","Year","83.5",""
"2016","DE26","Unterfranken","Total","Less than 1 year","Year","81.7",""
"2016","DE26","Unterfranken","Males","Less than 1 year","Year","79.3",""
"2016","DE26","Unterfranken","Females","Less than 1 year","Year","84.2",""
"2016","DE27","Schwaben","Total","Less than 1 year","Year","81.9",""
"2016","DE27","Schwaben","Males","Less than 1 year","Year","79.5",""
"2016","DE27","Schwaben","Females","Less than 1 year","Year","84.3",""
"2016","DE3","Berlin","Total","Less than 1 year","Year","80.9",""
"2016","DE3","Berlin","Males","Less than 1 year","Year","78.3",""
"2016","DE3","Berlin","Females","Less than 1 year","Year","83.4",""
"2016","DE30","Berlin","Total","Less than 1 year","Year","80.9",""
"2016","DE30","Berlin","Males","Less than 1 year","Year","78.3",""
"2016","DE30","Berlin","Females","Less than 1 year","Year","83.4",""
"2016","DE4","Brandenburg","Total","Less than 1 year","Year","80.7",""
"2016","DE4","Brandenburg","Males","Less than 1 year","Year","77.9",""
"2016","DE4","Brandenburg","Females","Less than 1 year","Year","83.4",""
"2016","DE40","Brandenburg","Total","Less than 1 year","Year","80.7",""
"2016","DE40","Brandenburg","Males","Less than 1 year","Year","77.9",""
"2016","DE40","Brandenburg","Females","Less than 1 year","Year","83.4",""
"2016","DE5","Bremen","Total","Less than 1 year","Year","80.1",""
"2016","DE5","Bremen","Males","Less than 1 year","Year","77.6",""
"2016","DE5","Bremen","Females","Less than 1 year","Year","82.6",""
"2016","DE50","Bremen","Total","Less than 1 year","Year","80.1",""
"2016","DE50","Bremen","Males","Less than 1 year","Year","77.6",""
"2016","DE50","Bremen","Females","Less than 1 year","Year","82.6",""
"2016","DE6","Hamburg","Total","Less than 1 year","Year","81.2",""
"2016","DE6","Hamburg","Males","Less than 1 year","Year","78.8",""
"2016","DE6","Hamburg","Females","Less than 1 year","Year","83.5",""
"2016","DE60","Hamburg","Total","Less than 1 year","Year","81.2",""
"2016","DE60","Hamburg","Males","Less than 1 year","Year","78.8",""
"2016","DE60","Hamburg","Females","Less than 1 year","Year","83.5",""
"2016","DE7","Hessen","Total","Less than 1 year","Year","81.6",""
"2016","DE7","Hessen","Males","Less than 1 year","Year","79.4",""
"2016","DE7","Hessen","Females","Less than 1 year","Year","83.7",""
"2016","DE71","Darmstadt","Total","Less than 1 year","Year","81.9",""
"2016","DE71","Darmstadt","Males","Less than 1 year","Year","79.8",""
"2016","DE71","Darmstadt","Females","Less than 1 year","Year","83.9",""
"2016","DE72","Gießen","Total","Less than 1 year","Year","81.1",""
"2016","DE72","Gießen","Males","Less than 1 year","Year","78.7",""
"2016","DE72","Gießen","Females","Less than 1 year","Year","83.5",""
"2016","DE73","Kassel","Total","Less than 1 year","Year","81.0",""
"2016","DE73","Kassel","Males","Less than 1 year","Year","78.8",""
"2016","DE73","Kassel","Females","Less than 1 year","Year","83.2",""
"2016","DE8","Mecklenburg-Vorpommern","Total","Less than 1 year","Year","80.1",""
"2016","DE8","Mecklenburg-Vorpommern","Males","Less than 1 year","Year","77.0",""
"2016","DE8","Mecklenburg-Vorpommern","Females","Less than 1 year","Year","83.4",""
"2016","DE80","Mecklenburg-Vorpommern","Total","Less than 1 year","Year","80.1",""
"2016","DE80","Mecklenburg-Vorpommern","Males","Less than 1 year","Year","77.0",""
"2016","DE80","Mecklenburg-Vorpommern","Females","Less than 1 year","Year","83.4",""
"2016","DE9","Niedersachsen","Total","Less than 1 year","Year","80.5",""
"2016","DE9","Niedersachsen","Males","Less than 1 year","Year","78.2",""
"2016","DE9","Niedersachsen","Females","Less than 1 year","Year","82.9",""
"2016","DE91","Braunschweig","Total","Less than 1 year","Year","80.1",""
"2016","DE91","Braunschweig","Males","Less than 1 year","Year","77.8",""
"2016","DE91","Braunschweig","Females","Less than 1 year","Year","82.4",""
"2016","DE92","Hannover","Total","Less than 1 year","Year","80.8",""
"2016","DE92","Hannover","Males","Less than 1 year","Year","78.3",""
"2016","DE92","Hannover","Females","Less than 1 year","Year","83.3",""
"2016","DE93","Lüneburg","Total","Less than 1 year","Year","80.6",""
"2016","DE93","Lüneburg","Males","Less than 1 year","Year","78.4",""
"2016","DE93","Lüneburg","Females","Less than 1 year","Year","82.9",""
"2016","DE94","Weser-Ems","Total","Less than 1 year","Year","80.5",""
"2016","DE94","Weser-Ems","Males","Less than 1 year","Year","78.2",""
"2016","DE94","Weser-Ems","Females","Less than 1 year","Year","82.8",""
"2016","DEA","Nordrhein-Westfalen","Total","Less than 1 year","Year","80.6",""
"2016","DEA","Nordrhein-Westfalen","Males","Less than 1 year","Year","78.2",""
"2016","DEA","Nordrhein-Westfalen","Females","Less than 1 year","Year","82.9",""
"2016","DEA1","Düsseldorf","Total","Less than 1 year","Year","80.4",""
"2016","DEA1","Düsseldorf","Males","Less than 1 year","Year","78.0",""
"2016","DEA1","Düsseldorf","Females","Less than 1 year","Year","82.7",""
"2016","DEA2","Köln","Total","Less than 1 year","Year","81.2",""
"2016","DEA2","Köln","Males","Less than 1 year","Year","78.9",""
"2016","DEA2","Köln","Females","Less than 1 year","Year","83.3",""
"2016","DEA3","Münster","Total","Less than 1 year","Year","80.7",""
"2016","DEA3","Münster","Males","Less than 1 year","Year","78.2",""
"2016","DEA3","Münster","Females","Less than 1 year","Year","83.2",""
"2016","DEA4","Detmold","Total","Less than 1 year","Year","81.2",""
"2016","DEA4","Detmold","Males","Less than 1 year","Year","78.8",""
"2016","DEA4","Detmold","Females","Less than 1 year","Year","83.5",""
"2016","DEA5","Arnsberg","Total","Less than 1 year","Year","80.0",""
"2016","DEA5","Arnsberg","Males","Less than 1 year","Year","77.4",""
"2016","DEA5","Arnsberg","Females","Less than 1 year","Year","82.4",""
"2016","DEB","Rheinland-Pfalz","Total","Less than 1 year","Year","81.1",""
"2016","DEB","Rheinland-Pfalz","Males","Less than 1 year","Year","78.9",""
"2016","DEB","Rheinland-Pfalz","Females","Less than 1 year","Year","83.3",""
"2016","DEB1","Koblenz","Total","Less than 1 year","Year","80.7",""
"2016","DEB1","Koblenz","Males","Less than 1 year","Year","78.6",""
"2016","DEB1","Koblenz","Females","Less than 1 year","Year","82.7",""
"2016","DEB2","Trier","Total","Less than 1 year","Year","81.3",""
"2016","DEB2","Trier","Males","Less than 1 year","Year","79.1",""
"2016","DEB2","Trier","Females","Less than 1 year","Year","83.4",""
"2016","DEB3","Rheinhessen-Pfalz","Total","Less than 1 year","Year","81.4",""
"2016","DEB3","Rheinhessen-Pfalz","Males","Less than 1 year","Year","79.1",""
"2016","DEB3","Rheinhessen-Pfalz","Females","Less than 1 year","Year","83.8",""
"2016","DEC","Saarland","Total","Less than 1 year","Year","80.2",""
"2016","DEC","Saarland","Males","Less than 1 year","Year","77.9",""
"2016","DEC","Saarland","Females","Less than 1 year","Year","82.4",""
"2016","DEC0","Saarland","Total","Less than 1 year","Year","80.2",""
"2016","DEC0","Saarland","Males","Less than 1 year","Year","77.9",""
"2016","DEC0","Saarland","Females","Less than 1 year","Year","82.4",""
"2016","DED","Sachsen","Total","Less than 1 year","Year","81.1",""
"2016","DED","Sachsen","Males","Less than 1 year","Year","78.1",""
"2016","DED","Sachsen","Females","Less than 1 year","Year","84.2",""
"2016","DED2","Dresden","Total","Less than 1 year","Year","81.7",""
"2016","DED2","Dresden","Males","Less than 1 year","Year","78.7",""
"2016","DED2","Dresden","Females","Less than 1 year","Year","84.6",""
"2016","DED4","Chemnitz","Total","Less than 1 year","Year","80.8",""
"2016","DED4","Chemnitz","Males","Less than 1 year","Year","77.7",""
"2016","DED4","Chemnitz","Females","Less than 1 year","Year","83.9",""
"2016","DED5","Leipzig","Total","Less than 1 year","Year","80.8",""
"2016","DED5","Leipzig","Males","Less than 1 year","Year","77.8",""
"2016","DED5","Leipzig","Females","Less than 1 year","Year","83.8",""
"2016","DEE","Sachsen-Anhalt","Total","Less than 1 year","Year","79.8",""
"2016","DEE","Sachsen-Anhalt","Males","Less than 1 year","Year","76.7",""
"2016","DEE","Sachsen-Anhalt","Females","Less than 1 year","Year","83.0",""
"2016","DEE0","Sachsen-Anhalt","Total","Less than 1 year","Year","79.8",""
"2016","DEE0","Sachsen-Anhalt","Males","Less than 1 year","Year","76.7",""
"2016","DEE0","Sachsen-Anhalt","Females","Less than 1 year","Year","83.0",""
"2016","DEF","Schleswig-Holstein","Total","Less than 1 year","Year","80.6",""
"2016","DEF","Schleswig-Holstein","Males","Less than 1 year","Year","78.2",""
"2016","DEF","Schleswig-Holstein","Females","Less than 1 year","Year","83.0",""
"2016","DEF0","Schleswig-Holstein","Total","Less than 1 year","Year","80.6",""
"2016","DEF0","Schleswig-Holstein","Males","Less than 1 year","Year","78.2",""
"2016","DEF0","Schleswig-Holstein","Females","Less than 1 year","Year","83.0",""
"2016","DEG","Thüringen","Total","Less than 1 year","Year","80.4",""
"2016","DEG","Thüringen","Males","Less than 1 year","Year","77.4",""
"2016","DEG","Thüringen","Females","Less than 1 year","Year","83.4",""
"2016","DEG0","Thüringen","Total","Less than 1 year","Year","80.4",""
"2016","DEG0","Thüringen","Males","Less than 1 year","Year","77.4",""
"2016","DEG0","Thüringen","Females","Less than 1 year","Year","83.4",""
"2016","EE","Estonia","Total","Less than 1 year","Year","78.0",""
"2016","EE","Estonia","Males","Less than 1 year","Year","73.3",""
"2016","EE","Estonia","Females","Less than 1 year","Year","82.2",""
"2016","EE0","Eesti","Total","Less than 1 year","Year","78.0",""
"2016","EE0","Eesti","Males","Less than 1 year","Year","73.3",""
"2016","EE0","Eesti","Females","Less than 1 year","Year","82.2",""
"2016","EE00","Eesti","Total","Less than 1 year","Year","78.0",""
"2016","EE00","Eesti","Males","Less than 1 year","Year","73.3",""
"2016","EE00","Eesti","Females","Less than 1 year","Year","82.2",""
"2016","IE","Ireland","Total","Less than 1 year","Year","81.8",""
"2016","IE","Ireland","Males","Less than 1 year","Year","79.9",""
"2016","IE","Ireland","Females","Less than 1 year","Year","83.6",""
"2016","IE0","Éire/Ireland","Total","Less than 1 year","Year","81.8",""
"2016","IE0","Éire/Ireland","Males","Less than 1 year","Year","79.9",""
"2016","IE0","Éire/Ireland","Females","Less than 1 year","Year","83.6",""
"2016","IE01","Border, Midland and Western (NUTS 2013)","Total","Less than 1 year","Year","81.8",""
"2016","IE01","Border, Midland and Western (NUTS 2013)","Males","Less than 1 year","Year","79.8",""
"2016","IE01","Border, Midland and Western (NUTS 2013)","Females","Less than 1 year","Year","83.9",""
"2016","IE02","Southern and Eastern (NUTS 2013)","Total","Less than 1 year","Year","81.7",""
"2016","IE02","Southern and Eastern (NUTS 2013)","Males","Less than 1 year","Year","79.9",""
"2016","IE02","Southern and Eastern (NUTS 2013)","Females","Less than 1 year","Year","83.5",""
"2016","EL","Greece","Total","Less than 1 year","Year","81.5",""
"2016","EL","Greece","Males","Less than 1 year","Year","78.9",""
"2016","EL","Greece","Females","Less than 1 year","Year","84.0",""
"2016","EL5","Voreia Ellada","Total","Less than 1 year","Year","81.5",""
"2016","EL5","Voreia Ellada","Males","Less than 1 year","Year","79.0",""
"2016","EL5","Voreia Ellada","Females","Less than 1 year","Year","84.0",""
"2016","EL51","Anatoliki Makedonia, Thraki","Total","Less than 1 year","Year","81.0",""
"2016","EL51","Anatoliki Makedonia, Thraki","Males","Less than 1 year","Year","78.6",""
"2016","EL51","Anatoliki Makedonia, Thraki","Females","Less than 1 year","Year","83.3",""
"2016","EL52","Kentriki Makedonia","Total","Less than 1 year","Year","81.3",""
"2016","EL52","Kentriki Makedonia","Males","Less than 1 year","Year","78.7",""
"2016","EL52","Kentriki Makedonia","Females","Less than 1 year","Year","83.9",""
"2016","EL53","Dytiki Makedonia","Total","Less than 1 year","Year","81.8",""
"2016","EL53","Dytiki Makedonia","Males","Less than 1 year","Year","79.6",""
"2016","EL53","Dytiki Makedonia","Females","Less than 1 year","Year","84.1",""
"2016","EL54","Ipeiros","Total","Less than 1 year","Year","83.4",""
"2016","EL54","Ipeiros","Males","Less than 1 year","Year","80.8",""
"2016","EL54","Ipeiros","Females","Less than 1 year","Year","86.0",""
"2016","EL6","Kentriki Ellada","Total","Less than 1 year","Year","81.7",""
"2016","EL6","Kentriki Ellada","Males","Less than 1 year","Year","79.3",""
"2016","EL6","Kentriki Ellada","Females","Less than 1 year","Year","84.3",""
"2016","EL61","Thessalia","Total","Less than 1 year","Year","81.9",""
"2016","EL61","Thessalia","Males","Less than 1 year","Year","79.3",""
"2016","EL61","Thessalia","Females","Less than 1 year","Year","84.4",""
"2016","EL62","Ionia Nisia","Total","Less than 1 year","Year","81.4",""
"2016","EL62","Ionia Nisia","Males","Less than 1 year","Year","79.3",""
"2016","EL62","Ionia Nisia","Females","Less than 1 year","Year","83.4",""
"2016","EL63","Dytiki Ellada","Total","Less than 1 year","Year","81.2",""
"2016","EL63","Dytiki Ellada","Males","Less than 1 year","Year","78.6",""
"2016","EL63","Dytiki Ellada","Females","Less than 1 year","Year","83.9",""
"2016","EL64","Sterea Ellada","Total","Less than 1 year","Year","81.8",""
"2016","EL64","Sterea Ellada","Males","Less than 1 year","Year","79.4",""
"2016","EL64","Sterea Ellada","Females","Less than 1 year","Year","84.2",""
"2016","EL65","Peloponnisos","Total","Less than 1 year","Year","82.3",""
"2016","EL65","Peloponnisos","Males","Less than 1 year","Year","79.8",""
"2016","EL65","Peloponnisos","Females","Less than 1 year","Year","84.9",""
"2016","EL3","Attiki","Total","Less than 1 year","Year","81.0",""
"2016","EL3","Attiki","Males","Less than 1 year","Year","78.2",""
"2016","EL3","Attiki","Females","Less than 1 year","Year","83.7",""
"2016","EL30","Attiki","Total","Less than 1 year","Year","81.0",""
"2016","EL30","Attiki","Males","Less than 1 year","Year","78.2",""
"2016","EL30","Attiki","Females","Less than 1 year","Year","83.7",""
"2016","EL4","Nisia Aigaiou, Kriti","Total","Less than 1 year","Year","82.1",""
"2016","EL4","Nisia Aigaiou, Kriti","Males","Less than 1 year","Year","79.8",""
"2016","EL4","Nisia Aigaiou, Kriti","Females","Less than 1 year","Year","84.5",""
"2016","EL41","Voreio Aigaio","Total","Less than 1 year","Year","82.2",""
"2016","EL41","Voreio Aigaio","Males","Less than 1 year","Year","79.7",""
"2016","EL41","Voreio Aigaio","Females","Less than 1 year","Year","84.8",""
"2016","EL42","Notio Aigaio","Total","Less than 1 year","Year","81.9",""
"2016","EL42","Notio Aigaio","Males","Less than 1 year","Year","79.7",""
"2016","EL42","Notio Aigaio","Females","Less than 1 year","Year","84.4",""
"2016","EL43","Kriti","Total","Less than 1 year","Year","82.2",""
"2016","EL43","Kriti","Males","Less than 1 year","Year","79.9",""
"2016","EL43","Kriti","Females","Less than 1 year","Year","84.5",""
"2016","ES","Spain","Total","Less than 1 year","Year","83.5",""
"2016","ES","Spain","Males","Less than 1 year","Year","80.5",""
"2016","ES","Spain","Females","Less than 1 year","Year","86.3",""
"2016","ES1","Noroeste (ES)","Total","Less than 1 year","Year","83.0",""
"2016","ES1","Noroeste (ES)","Males","Less than 1 year","Year","79.7",""
"2016","ES1","Noroeste (ES)","Females","Less than 1 year","Year","86.2",""
"2016","ES11","Galicia","Total","Less than 1 year","Year","83.0",""
"2016","ES11","Galicia","Males","Less than 1 year","Year","79.7",""
"2016","ES11","Galicia","Females","Less than 1 year","Year","86.3",""
"2016","ES12","Principado de Asturias","Total","Less than 1 year","Year","82.6",""
"2016","ES12","Principado de Asturias","Males","Less than 1 year","Year","79.3",""
"2016","ES12","Principado de Asturias","Females","Less than 1 year","Year","85.8",""
"2016","ES13","Cantabria","Total","Less than 1 year","Year","83.5",""
"2016","ES13","Cantabria","Males","Less than 1 year","Year","80.3",""
"2016","ES13","Cantabria","Females","Less than 1 year","Year","86.6",""
